date, U.S. deaths per Wikipedia, worldwide deaths per Wikipedia
2020.03.20, 217, 10495
2020.03.21, 276, 11822
2020.03.22, 340, 13071
2020.03.23, 473, 14748
2020.03.24, 593, 16591
2020.03.25, 804, 19677
2020.03.26, 1054, 22020
2020.03.27, 1304, 24777
2020.03.28, 1716, 28251
2020.03.29, 2227, 31776
2020.03.30, 2505, 34686
2020.03.31, 3172, 38540
2020.04.01, 4075, 43288
2020.04.02, 5133, 48284
2020.04.03, 6059, 54369
2020.04.04, 7146, 60115
2020.04.05, 8492, 65711
2020.04.06, 9643, 69527
2020.04.07, 10981, 75945
2020.04.08, 12929, 83568
2020.04.09, 14802, 88982
2020.04.10, 16676, 96783
2020.04.11, 18771, 103874
2020.04.12, 20601, 109823
2020.04.13, 20601, 109823
2020.04.14, 20601, 109823
2020.04.15, 26061, 126681
2020.04.16, 28579, 137666
2020.04.17, 28579, 145705
2020.04.18, 32823, 154350
2020.04.19, 39158, 161402
2020.04.20, 41114, 165257
2020.04.21, 42897, 170389
2020.04.22, 45373, 178371
2020.04.23, 47974, 184643
2020.04.24, 50372, 190872
2020.04.25, 52415, 197924
2020.04.26, 54161, 203534
2020.04.27, 55417, 206811
2020.04.28, 56634, 211216
2020.04.29, 58964, 217569
2020.04.30, 61504, 228057
2020.05.01, 63746, 233792
2020.05.02, 63746, 233792
2020.05.03, 67067, 244122
2020.05.04, 68286, 247491
2020.05.05, 69680, 251580
2020.05.06, 73667, 257906
2020.05.07, 73667, 257906
2020.05.08, 76537, 269564
2020.05.09, 76537, 269564
2020.05.10, 79707, 279313
2020.05.11, 80574, 282872
2020.05.12, 81491, 286353
2020.05.13, 83082, 291961
2020.05.14, 84763, 297197
2020.05.15, 86571, 302493
2020.05.16, 89420, 311363
2020.05.17, 89498, 312327
2020.05.18, 89932, 315023
2020.05.19, 90694, 318554
2020.05.20, 92333, 323286
2020.05.21, 93806, 328462
2020.05.22, 95087, 333001
2020.05.23, 96370, 338612
2020.05.24, 97477, 342104
2020.05.25, 98044, 345442
2020.05.26, 99462, 346232
2020.05.27, 100191, 350458
2020.05.28, 101762, 355575
2020.05.29, 102943, 359791
2020.05.30, 104155, 365437
2020.05.31, 105219, 369789
2020.06.01, 105773, 371700
2020.06.02, 106550, 375656
2020.06.03, 107648, 380580
2020.06.04, 108681, 386091
2020.06.05, 109775, 391136
2020.06.06, 110708, 395331
2020.06.07, 110708, 395331
2020.06.08, 112272, 403267
2020.06.09, 112597, 406616
2020.06.10, 112597, 406616
2020.06.11, 114592, 417174
2020.06.12, 115487, 421032
2020.06.13, 116347, 426696
2020.06.14, 117126, 430605
2020.06.15, 117700, 434432
2020.06.16, 117810, 437283
2020.06.17, 118710, 443960
2020.06.18, 119489, 449397
